000093	24	PROTEON INC.
000094	24	ASANTE TECHNOLOGIES
000095	24	SONY TEKTRONIX CORP.
000096	24	MARCONI ELECTRONICS LTD.
000097	24	Dell EMC
000098	24	CROSSCOMM CORPORATION
000099	24	MTX, INC.
00009A	24	RC COMPUTER A/S
00009B	24	INFORMATION INTERNATIONAL, INC
00009C	24	ROLM MIL-SPEC COMPUTERS
00009D	24	LOCUS COMPUTING CORPORATION
00009E	24	MARLI S.A.
00009F	24	AMERISTAR TECHNOLOGIES INC.
0000A0	24	SANYO Electric Co., Ltd.
0000A1	24	MARQUETTE ELECTRIC CO.
0000A2	24	Bay Networks
0000A3	24	NETWORK APPLICATION TECHNOLOGY
0000A4	24	ACORN COMPUTERS LIMITED
0000A5	24	Tattile SRL
0000A6	24	NETWORK GENERAL CORPORATION
0000A7	24	NETWORK COMPUTING DEVICES INC.
0000A8	24	Stratus Technologies
0000A9	24	NETWORK SYSTEMS CORP.
0000AA	24	XEROX CORPORATION
0000AB	24	LOGIC MODELING CORPORATION
0000AC	24	CONWARE COMPUTER CONSULTING
0000AD	24	BRUKER INSTRUMENTS INC.
0000AE	24	DASSAULT ELECTRONIQUE
0000AF	24	Canberra Industries, Inc.
0000B0	24	RND-RAD NETWORK DEVICES
0000B1	24	Alpha Micro
0000B2	24	TELEVIDEO SYSTEMS, INC.
0000B3	24	CIMLINC INCORPORATED
0000B4	24	Edimax Technology Co. Ltd.
0000B5	24	DATABILITY SOFTWARE SYS. INC.
0000B6	24	MICRO-MATIC RESEARCH
0000B7	24	DOVE COMPUTER CORPORATION
0000B8	24	SEIKOSHA CO., LTD.
0000B9	24	MCDONNELL DOUGLAS COMPUTER SYS
0000BA	24	SIIG, INC.
0000BB	24	TRI-DATA
0000BC	24	Rockwell Automation
0000BD	24	RYOSEI, Ltd.
0000BE	24	THE NTI GROUP
0000BF	24	SYMMETRIC COMPUTER SYSTEMS
0000C0	24	WESTERN DIGITAL CORPORATION
0000C1	24	Madge Ltd.
0000C2	24	INFORMATION PRESENTATION TECH.
0000C3	24	Harris Corporation
0000C4	24	WATERS DIV. OF MILLIPORE
0000C5	24	Commscope
0000C6	24	EON SYSTEMS
0000C7	24	ARIX CORPORATION
0000C8	24	ALTOS COMPUTER SYSTEMS
0000C9	24	Emulex Corporation
0000CA	24	Commscope
0000CB	24	COMPU-SHACK ELECTRONIC GMBH
0000CC	24	DENSAN CO., LTD.
0000CD	24	Allied Telesis Labs Ltd
0000CE	24	MEGADATA CORP.
0000CF	24	HAYES MICROCOMPUTER PRODUCTS
0000D0	24	DEVELCON ELECTRONICS LTD.
0000D1	24	ADAPTEC INCORPORATED
0000D2	24	SBE, INC.
0000D3	24	WANG LABORATORIES INC.
0000D4	24	PURE DATA LTD.
0000D5	24	MICROGNOSIS INTERNATIONAL
0000D6	24	PUNCH LINE HOLDING
0000D7	24	DARTMOUTH COLLEGE
0000D8	24	Novell, Inc.
0000D9	24	NIPPON TELEGRAPH & TELEPHONE
0000DA	24	ATEX
0000DB	24	British Telecommunications plc
0000DC	24	HAYES MICROCOMPUTER PRODUCTS
0000DD	24	TCL INCORPORATED
0000DE	24	CETIA
0000DF	24	BELL & HOWELL PUB SYS DIV
0000E0	24	QUADRAM CORP.
0000E1	24	GRID SYSTEMS
0000E2	24	ACER TECHNOLOGIES CORP.
0000E3	24	INTEGRATED MICRO PRODUCTS LTD
0000E4	24	IN2 GROUPE INTERTECHNIQUE
0000E5	24	SIGMEX LTD.
0000E6	24	APTOR PRODUITS DE COMM INDUST
0000E7	24	Star Gate Technologies
0000E8	24	ACCTON TECHNOLOGY CORP.
0000E9	24	ISICAD, INC.
0000EA	24	UPNOD AB
0000EB	24	MATSUSHITA COMM. IND. CO. LTD.
0000EC	24	MICROPROCESS
0000ED	24	APRIL
0000EE	24	NETWORK DESIGNERS, LTD.
0000EF	24	KTI
0000F0	24	Samsung Electronics Co.,Ltd
